codigo,descricao,etapa,categoria,objeto_conhecimento
EF07CO11,"Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",EF07,Cultura Digital,Produção Digital
EF08CO01,Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,EF08,Pensamento Computacional,Programação com listas e recursão
EF08CO02,"Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",EF08,Pensamento Computacional,Programação com listas e recursão
EF08CO03,Utilizar algoritmos clássicos de manipulação sobre listas.,EF08,Pensamento Computacional,Algoritmos clássicos
EF08CO04,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",EF08,Pensamento Computacional,Projetos com programação
EF08CO05,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos.",EF08,Mundo Digital,Fundamentos de sistemas distribuídos
EF08CO06,Entender como é a estrutura e funcionamento da internet.,EF08,Mundo Digital,Internet
EF08CO07,"Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",EF08,Cultura Digital,Redes sociais e segurança da informação
EF08CO08,Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,EF08,Cultura Digital,Redes sociais e segurança da informação
EF08CO09,Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,EF08,Cultura Digital,Redes sociais e segurança da informação
EF08CO10,Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,EF08,Cultura Digital,Segurança em ambientes virtuais
EF08CO11,"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica.",EF08,Cultura Digital,Uso crítico das mídias digitais
